TIME (UTC),y,x,STATION_NAME,TEMP (degC),STATION_PRESSURE (kPa),RELATIVE_HUMIDITY (%),DEW_POINT_TEMP (degC),WIND_SPEED (km/h),WIND_DIRECTION (deg),RAIN_AMOUNT (mm/hr),SNOW_AMOUNT (mm/hr
2024-01-04 04:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.0013357,101.5615639833,72.451376417,-28.52259935,13.5434650356,322.52535,,0.0
2024-01-04 05:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-24.680080633,101.5453089,72.692130383,-28.1758163,15.5610006624,323.068907333,,0.0
2024-01-04 06:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-24.339018317,101.5410301,73.003894567,-27.7992786,15.1691099652,320.3388435,,0.0
2024-01-04 07:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-23.884001667,101.5345334167,73.379020067,-27.302870133,14.498709336000001,324.111250333,,0.0
2024-01-04 08:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-23.267853117,101.5482476167,73.9022015,-26.628072617,12.8720373696,320.492736667,,0.0
2024-01-04 09:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-22.478802683,101.5658134,74.329701667,-25.7994401,10.9692068652,318.957008333,,0.2
2024-01-04 10:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-21.6458555,101.5758399,74.654115117,-24.94309345,9.357114941999999,331.2736925,,0.0
2024-01-04 11:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-20.930523833,101.58614435,74.8356188,-24.221706417,8.6982932232,315.809942473,,0.0
2024-01-04 12:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-20.532074383,101.61037111670001,75.4633902,-23.741218817,9.089145115200001,277.755850944,,0.0
2024-01-04 13:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-20.203328483,101.6422107667,76.091025333,-23.3284827,9.3839797512,281.356714371,,0.0
2024-01-04 14:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-19.80721845,101.66264720000001,77.3447624,-22.758492533,10.7985561588,101.57226619,,0.0
2024-01-04 15:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-19.665452217,101.7065567333,77.1725897,-22.6463637,10.2337086924,169.168725962,,0.0
2024-01-04 16:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-19.631951967,101.7416477,76.00921745,-22.785634467,12.3583816296,49.347283162,,0.0
2024-01-04 17:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-19.92072355,101.7948942333,75.191332133,-23.188259933,14.089460259600001,60.839779282,,0.0
2024-01-04 18:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-20.409065867,101.8634243667,74.455501933,-23.7728208,11.8365204096,140.988639811,,0.0
2024-01-04 19:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-20.564095817,101.9198939667,74.059663067,-23.982999767,10.9470183876,146.720115215,,0.0
2024-01-04 20:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-20.56515615,101.9929618333,73.736212433,-24.033132767,10.678372923600001,131.100453606,,0.0
2024-01-04 21:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-20.875724733,102.0713008833,73.196358383,-24.416131667,10.559834928,207.666615127,,0.0
2024-01-04 22:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-21.596926667,102.1362303667,72.9654062,-25.149610833,9.4362226308,169.687088066,,0.0
2024-01-04 23:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-22.82789015,102.1666627833,73.0654986,-26.3266344,9.1042591392,279.311919073,,0.0
2024-01-05 00:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-23.3455652,102.1979074667,73.008596567,-26.8364069,7.743602538,337.393194403,,0.0
2024-01-05 01:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-24.186168867,102.2084995333,71.981472133,-27.8040156,8.7332475708,331.5919495,,0.0
